"subject_id","problemID","context"
8,6,"Lottery B:
6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery A:
3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
8,7,"Lottery B:
-4000 Euros with 80% probability
0 Euros with 20% probability

Lottery A:
-3000 Euros with 100% probability"
8,8,"Lottery A:
-4000 Euros with 20% probability
0 Euros with 80% probability

Lottery B:
-3000 Euros with 25% probability
0 Euros with 75% probability"
8,9,"Lottery B:
-6000 Euros with 45% probability
0 Euros with 55% probability

Lottery A:
-3000 Euros with 90% probability
0 Euros with 10% probability"
8,10,"Lottery A:
-6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
-3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
8,11,"Lottery A:
1000 Euros with 50% probability
0 Euros with 50% probability

Lottery B:
500 Euros with 100% probability"
8,12,"Lottery B:
-1000 Euros with 50% probability
0 Euros with 50% probability

Lottery A:
-500 Euros with 100% probability"
8,13,"Lottery A:
6000 Euros with 25% probability
0 Euros with 75% probability

Lottery B:
4000 Euros with 25% probability
2000 Euros with 25% probability
0 Euros with 50% probability"
8,14,"Lottery B:
-6000 Euros with 25% probability
0 Euros with 75% probability

Lottery A:
-4000 Euros with 25% probability
-2000 Euros with 25% probability
0 Euros with 50% probability"
8,15,"Lottery A:
5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
5 Euros with 100% probability"
8,16,"Lottery A:
-5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
-5 Euros with 100% probability"
8,17,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
1500 Euros with 100% probability"
8,18,"Lottery B:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery A:
2000 Euros with 100% probability"
8,19,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
1000 Euros with 100% probability"
8,20,"Lottery B:
6000 Euros with 50% probability
-6000 Euros with 50% probability

Lottery A:
0 Euros with 100% probability"
9,1,"Lottery A:
2500 Euros with 33% probability
2400 Euros with 66% probability
0 Euros with 1% probability

Lottery B:
2400 Euros with 100% probability"
9,2,"Lottery B:
2500 Euros with 33% probability
0 Euros with 67% probability

Lottery A:
2400 Euros with 34% probability
0 Euros with 66% probability"
9,3,"Lottery A:
4000 Euros with 80% probability
0 Euros with 20% probability

Lottery B:
3000 Euros with 100% probability"
9,4,"Lottery B:
4000 Euros with 20% probability
0 Euros with 80% probability

Lottery A:
3000 Euros with 25% probability
0 Euros with 75% probability"
9,5,"Lottery A:
6000 Euros with 45% probability
0 Euros with 55% probability

Lottery B:
3000 Euros with 90% probability
0 Euros with 10% probability"
9,6,"Lottery A:
6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
9,7,"Lottery B:
-4000 Euros with 80% probability
0 Euros with 20% probability

Lottery A:
-3000 Euros with 100% probability"
9,8,"Lottery A:
-4000 Euros with 20% probability
0 Euros with 80% probability

Lottery B:
-3000 Euros with 25% probability
0 Euros with 75% probability"
9,9,"Lottery B:
-6000 Euros with 45% probability
0 Euros with 55% probability

Lottery A:
-3000 Euros with 90% probability
0 Euros with 10% probability"
9,10,"Lottery B:
-6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery A:
-3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
9,11,"Lottery B:
1000 Euros with 50% probability
0 Euros with 50% probability

Lottery A:
500 Euros with 100% probability"
9,12,"Lottery A:
-1000 Euros with 50% probability
0 Euros with 50% probability

Lottery B:
-500 Euros with 100% probability"
9,13,"Lottery B:
6000 Euros with 25% probability
0 Euros with 75% probability

Lottery A:
4000 Euros with 25% probability
2000 Euros with 25% probability
0 Euros with 50% probability"
9,14,"Lottery A:
-6000 Euros with 25% probability
0 Euros with 75% probability

Lottery B:
-4000 Euros with 25% probability
-2000 Euros with 25% probability
0 Euros with 50% probability"
9,15,"Lottery B:
5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery A:
5 Euros with 100% probability"
9,16,"Lottery A:
-5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
-5 Euros with 100% probability"
9,17,"Lottery B:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery A:
1500 Euros with 100% probability"
9,18,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
2000 Euros with 100% probability"
9,19,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
1000 Euros with 100% probability"
9,20,"Lottery A:
6000 Euros with 50% probability
-6000 Euros with 50% probability

Lottery B:
0 Euros with 100% probability"
10,1,"Lottery B:
2500 Euros with 33% probability
2400 Euros with 66% probability
0 Euros with 1% probability

Lottery A:
2400 Euros with 100% probability"
10,2,"Lottery A:
2500 Euros with 33% probability
0 Euros with 67% probability

Lottery B:
2400 Euros with 34% probability
0 Euros with 66% probability"
10,3,"Lottery A:
4000 Euros with 80% probability
0 Euros with 20% probability

Lottery B:
3000 Euros with 100% probability"
10,4,"Lottery B:
4000 Euros with 20% probability
0 Euros with 80% probability

Lottery A:
3000 Euros with 25% probability
0 Euros with 75% probability"
10,5,"Lottery A:
6000 Euros with 45% probability
0 Euros with 55% probability

Lottery B:
3000 Euros with 90% probability
0 Euros with 10% probability"
10,6,"Lottery B:
6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery A:
3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
10,7,"Lottery B:
-4000 Euros with 80% probability
0 Euros with 20% probability

Lottery A:
-3000 Euros with 100% probability"
10,8,"Lottery B:
-4000 Euros with 20% probability
0 Euros with 80% probability

Lottery A:
-3000 Euros with 25% probability
0 Euros with 75% probability"
10,9,"Lottery A:
-6000 Euros with 45% probability
0 Euros with 55% probability

Lottery B:
-3000 Euros with 90% probability
0 Euros with 10% probability"
10,10,"Lottery B:
-6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery A:
-3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
10,11,"Lottery B:
1000 Euros with 50% probability
0 Euros with 50% probability

Lottery A:
500 Euros with 100% probability"
10,12,"Lottery B:
-1000 Euros with 50% probability
0 Euros with 50% probability

Lottery A:
-500 Euros with 100% probability"
10,13,"Lottery B:
6000 Euros with 25% probability
0 Euros with 75% probability

Lottery A:
4000 Euros with 25% probability
2000 Euros with 25% probability
0 Euros with 50% probability"
10,14,"Lottery B:
-6000 Euros with 25% probability
0 Euros with 75% probability

Lottery A:
-4000 Euros with 25% probability
-2000 Euros with 25% probability
0 Euros with 50% probability"
10,15,"Lottery B:
5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery A:
5 Euros with 100% probability"
10,16,"Lottery A:
-5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
-5 Euros with 100% probability"
10,17,"Lottery B:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery A:
1500 Euros with 100% probability"
10,18,"Lottery B:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery A:
2000 Euros with 100% probability"
10,19,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
1000 Euros with 100% probability"
10,20,"Lottery B:
6000 Euros with 50% probability
-6000 Euros with 50% probability

Lottery A:
0 Euros with 100% probability"
11,1,"Lottery B:
2500 Euros with 33% probability
2400 Euros with 66% probability
0 Euros with 1% probability

Lottery A:
2400 Euros with 100% probability"
11,2,"Lottery B:
2500 Euros with 33% probability
0 Euros with 67% probability

Lottery A:
2400 Euros with 34% probability
0 Euros with 66% probability"
11,3,"Lottery B:
4000 Euros with 80% probability
0 Euros with 20% probability

Lottery A:
3000 Euros with 100% probability"
11,4,"Lottery B:
4000 Euros with 20% probability
0 Euros with 80% probability

Lottery A:
3000 Euros with 25% probability
0 Euros with 75% probability"
11,5,"Lottery B:
6000 Euros with 45% probability
0 Euros with 55% probability

Lottery A:
3000 Euros with 90% probability
0 Euros with 10% probability"
11,6,"Lottery A:
6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
11,7,"Lottery A:
-4000 Euros with 80% probability
0 Euros with 20% probability

Lottery B:
-3000 Euros with 100% probability"
