"subject_id","problemID","session","response","left_lottery"
2,13,1,"nach den letzten risikofreudigeren Durchgängen nun der Wunsch überhaupt mal etwas positives zu bekommen; da die Wahrscheinlichkeit etwas zu gewinnen bei B höher war, habe ich das genommen, auch wenn die Gewinne niedriger ausfallen als A","a"
2,14,1,"bei Verlusten fallen mir Entscheidungen schwieriger als bei den entsprechend umgekehrten Versionen mit Gewinnen; hier auch sehr unsicher, und wieder von dem hohen Wert von 6000€ in Lotterie A abschrecken lassen, auch wenn natürlich bei B generell viel wahrscheinlicher ist, dass es überhaupt zu Verlust kommt","a"
2,15,1,"Zwar wären die 5€ kein großer Verlust gewesen, hätte ich die risikofreudigere Lotterie B gewählt, aber die Wahrscheinlichkeit für den großen Gewinn war trotzdem einfach so klein, dass es mich nicht gelockt hat","b"
2,16,1,"Unsicher, ob ich mich sinnvoll entschieden haben, weil schließlich enorm geringe Wahrscheinlichkeit des Verlusts bei Lotterie B, aber der Verlust von 5€ ist demgegenüber so gering, dass er mir in dem Fall irrelevant erscheint","b"
2,17,1,"analog zum Beispiel vor ein paar Durchgängen; Lieber den kleineren Gewinn auf der haben -Seite, Verlust zu 50% bei anderer Lotterie zu risikoreich","a"
2,18,1,"wieder klar der Reiz des definitiven Gewinns, besonders nach den vielen Verlust-Entscheidungen der letzten Durchgänge keine Lust, mit mehr Risiko zu spielen","a"
2,19,1,"Entscheidung diesmal recht schnell, da Gewinn bei A deutlich attraktiver als möglicher dreimal so hoher Verlust bei B (zumal Wahrscheinlichkeit dort für Gewinn nur bei 50%)","b"
2,20,1,"6000 zu große Summe, um sie aufs Spiel zu setzen, da Gewinne ansonsten kleiner; einen Durchgang Pause zu machen scheint in Ordnung","b"
3,1,1,"Zuerst habe ich die Ergebnisse von A und B verglichen, dann die Chancen.Bei den 3 Ergebnissen bei B, gibt es für mich eine faire Chance 2400 oder 2500 zu gewinnen. Die 1% auf 0€ spielt keinen großen Unterschied für mich.","b"
3,2,1,"Zwischen den Wahrscheinlichkeiten bei 33% oder 34% spielt es für mich wieder keine große Rolle bei der Entscheidung mit der 1% Differenz.Falls man gewinnt, hab ich mich deswegen für die Lotterie B entschieden für den höheren Gewinn-","b"
3,3,1,"Zuerst: Die Ergebnisse angesehen und wie viel man gewinnen kann, erst dann hab ich mir die Wahrscheinlichkeit angesehen.Auch wenn Lotterie A eine Wahrscheinlichkeit von 80% für 4000€ hat, die 20% zu verlieren bleiben. Daher ist es sicherer für mich die 100% für die 3000€ zu kassieren.","a"
3,4,1,"Zuerst hab ich in Erwägung gezogen, wie hoch der Gewinn ist zwischen A und B, erst dann hab ich mir die Wahrscheinlichkeiten angesehen.Bei B ist es sicherer mit 25% 3000€ zu gewinnen, statt nur bei 20%, weswegen dies attraktiver ist für mich, egal bei den 100€ Unterschied.","a"
3,5,1,"Wie bei der vorherigen Antwort, habe ich mir zuerst die Ergebnisse zwischen A und B angesehen und die dazugehörigen Chancen.Da es bei Lotterie B sicherer ist bei 90% zu gewinnen, habe ich mir dafür entschieden.","a"
3,6,1,"Bei diesen Lotterien war es mir relativ unwichtig gewesen wie viel € man bei den Ergebnissen erhält, da die Chancen viel zu gering sind überhaupt etwas zu erzielen. Zwischen 0,2% oder 0,1%, habe ich daher die Lotterie B mit Gewinn von 6000€ ausgewählt, falls man mit Glück gewinnt.","b"
3,7,1,"Zwischen A und B, ist das Risiko 100% die 3000€ zu verlieren.Deswegen entschied ich mich für A mit einer Chance 20% für 0€ um sicher zu gehen, falls man Glück hat.","a"
3,8,1,"Zuerst wieder die Ergebnisse und die dazugehörigen Chancen der Wahrscheinlichkeit angesehen.Bei Lotterie A ist der Verlust von -4000€ höher als -3000€ bei B, daher hat die Wahrscheinlichkeit von 25% keine große Rolle gespielt.","a"
3,9,1,"Zuerst hab ich mir angesehen wie viel man bei jeder Entscheidung verlieren kann und zu welcher Chance.Bei Lotterie A ist der Verlust von -6000€ zu hoch auch wenn es nur eine Chance von 45% ist. Um nicht zu viel zu verlieren, wäre es besser sicher zu gehen und den Verlust zu minimieren, bei Lotterie B.","a"
3,10,1,"Zuerst: Den Verlust angesehen und erst dann mit den Chancen verglichen zwischen den zwei Optionen.Zwischen A und B sind die Chancen unter 0,2% zu verlieren sehr gering, welches für meine finale Entscheidung keine Rolle spielt. Was mich zu A überzeugt hat, ist der geringere Verlust von nur -3000€","b"
3,11,1,"Zuerst wieder die Gewinne angeschaut und erst dann mit den Chancen zwischen A und B verglichen. Bei A war es attraktiv, bei 50% 1000€ zu gewinnen, aber es existiert immer noch die Chance von 50% zu verlieren.Um sicher zu gehen, bei 100% für 500, hab ich B gewählt.","a"
3,12,1,"Bei einem Guthaben von 2000€ war bei A die Chance die Hälfte zu verlieren zu hoch für mich bei 50%.Nach dem Vergleich zwischen A und B, ist es sicherer, 500€ zu verlieren, statt 1000€, deswegen die B.","a"
3,13,1,"Zuerst wieder: Die Ergebnisse und Gewinne von A angesehen und mit B verglichen. Bei A war es attraktiver bei 3 verschiedenen Entscheidungen etwas zu gewinnen, bei einer aufgeteilten Chance von 25% für 2000 oder 4000. Für B ist das Risiko zu hoch, nichts zu verdienen.","b"
3,14,1,"Zuerst habe ich mir angesehen, wie hoch die Verluste der jeweiligen Lotterien sind und erst danach die Wahrscheinlichkeit in Betracht gezogen.Bei A ist der Verlust von -6000€ auch bei einer Chance von 25% zu hoch.Bei B geht der maximale Verlust nur bis -4000€ oder -2000€ bei einer Chance von 25%.","a"
3,15,1,"Bei A ist es attraktiv 5000€ zu gewinnen, aber die Chance bei 0,1% war zu gering für mich um es jemals zu erzielen.Daher hab ich mich für B entschieden, auch wenn der Gewinn nur 5€ beträgt, aber bei einer garantierten Chance von 100%","a"
3,16,1,"Zuerst hab ich mir die Ergebnisse wieder angesehen und erst danach die mögliche Wahrscheinlichkeit der Ergebnisse.Die Lotterie B ist attraktiver im Sinne von einer geringen Verlustchance von 0,1%. Daher ist es gegenüber Lotterie A besser, sich auf 0 Euro zu verlassen, statt 5€ zu verlieren.","b"
3,17,1,"Hier zwischen A und B war es eindeutig für mich, dass man bei B zu 50% verlieren kann, auch wenn es die doppelte Summe vom Gewinn A ist.Das Risiko ist zu hoch für A, nach dem Einschätzen und Gewinn und Chancen zwischen A und B. Um sicher zu gehen für einen garantierten Gewinn, ist B die bessere Lotterie.","b"
3,18,1,"Zwischen A und B, kann man bei A nur die 2000€ gewinnen zu 100%, wobei bei B das Risiko zu hoch ist, einen Verlust zu erzielen.","b"
3,19,1,"Zwischen A und B, besteht bei B ein zu hohes Risiko zu verlieren, auch wenn der Gewinn attraktiv ist.Um sicher zu gehen für einen garantieren Gewinn von 100%, habe ich mich daher für A entschieden.","b"
3,20,1,"Zuerst habe ich mir wieder die 2 Ergebnisse bei A angesehen, wie viel man gewinnen oder verlieren kann. Da eine 50% Chance bei den beiden zu hoch ist zu verlieren, war es sicherer für mich 0€ zu erhalten bei einer sicheren Möglichkeit von 100% bei B.","a"
4,1,1,"0 vermeiden","b"
4,2,1,"höherer Gewinn","b"
4,3,1,"Lieber sicher 3000, als zu 20% 0","a"
4,4,1,"höhere Wahrscheinlichkeit auf Gewinn","b"
4,5,1,"lieber relativ sicher 3000","b"
4,6,1,"lieber doppelte Wahrscheinlichkeit etwas zu gewinnen","a"
4,7,1,"Wahrscheinlichkeit Verlust zu vermeiden","a"
4,8,1,"Verlustwahrscheinlichkeit minimieren","b"
4,9,1,"lieber höhere Wahrscheinlichkeit keinen Verlust zu erleiden","a"
4,10,1,"höheren Verlust vermeiden","a"
4,11,1,"lieber den Gewinn sicher als 0","b"
4,12,1,"lieber kleinen Verlust","a"
4,13,1,"höhere Gewinnwahrscheinlichkeit","b"
4,14,1,"Verlustminimierung","b"
4,15,1,"kein Verlust aber hoher Gewinn möglich","a"
4,16,1,"hohen Verlust vermeiden","a"
4,17,1,"lieber sicher 1500 als sogar Verluste","b"
4,18,1,"Gewinn statt Verluste","a"
4,19,1,"lieber ein Gewinn als Verlust","a"
4,20,1,"lieber 0 als zocken","a"
5,1,1,"Zunächst wurde geringe Verlustmöglichkeit (1%) bei A gesehen und eine 100% Gewinnmöglichkeit bei B -> allerdings ermöglichte A eine 33% deutlich höhere Gewinnmöglichkeit was hier in Relation zum geringen Risiko vorzuziehen ist","a"
5,2,1,"Lotterie A bot 100 Euro mehr bei nur einer 1% geringeren Gewinnwrslkeit","a"
5,3,1,"Gewinn bei B war sicher und A hätte zwar 1000 Euro mehr gebracht allerdings war es mir das nicht wert","a"
5,4,1,"fast gleiche Warscheinlichkeit aber höhrere Gewinnmöglichkeit in B ohne Risiko jeweils","b"
5,5,1,"Lotterie A bot mit 95% eine 40% höhrere (fast sichere) Gewinnwrslkeit","b"
5,6,1,"Zunächst wurde sehr geringe Chance auf Gewinn bei A festgestellt, dann halb so geringe Chance bei B, allerdings doppelter möglicher Gewinn, ohne jeweils einer Verlustmöglichkeit -> da es ohnehin eine verschwindend geringe Chance bei beiden war, ist hier B vorzuziehen","b"
5,7,1,"geringerer Verlust wurde bei beinaher gleicher Wrlkeit (20% weniger in B) wahrgenommen","b"
5,8,1,"Beinahe gleiche Wrslkeit nichts zu verlieren in A und B, 5% geringere Wrslkeit nur 3000 Euro zu verlieren in B (statt 4000 in A)","a"
5,9,1,"A bot mit 55 % eine höhere Möglichkeit nichts zu verlieren, wohingegen B mit 90% einen beinahe sicheren Verlust bedeutet hätte","a"
5,10,1,"in beiden Optionen wurden verschwindend geringe Verlustwrslkeiten gesehen, B bot noch geringeren Verlustbetrag bei minimal höherem Risiko","a"
5,11,1,"sicherer Gewinn bei A wurde als erstrebenswerter wahrgenommen, als doppelter möglicher Gewinn bei 50%igem Nichtgewinnmöglichkeit","b"
5,12,1,"ich hätte die Hälfte meines Guthabens zu 50% Wrslkeit verlieren können, mit B konnte ich den möglichen Verlust mit 100% Sicherheit minimieren","a"
5,13,1,"A bot mit 50 % eine höhere Wrslkeit, dass ein Gewinn erzielt wird (25% höher als B)","b"
5,14,1,"Zunächst wurde relativ hohe Nichtverlustmöglichkeit bei A gesehen, allerdings ist die Wrslkeit 6000 Euro zu verlieren gleich hoch wie 2000 oder 4000 Euro bei B zu verlieren - fernerhin ist die geringe Verlustmöglichkeit in B kumuliert 75% hoch wohingegen der hohe Verlust in B 4000 Euro beträgt was immer noch weniger ist als die hohe Verlustmöglichkeit in A","a"
5,15,1,"Sicherer Gewinn in A erkannt, beinahe sicherer nicht Gewinn in B gesehen","b"
5,16,1,"A bot geringen sicheren Verlust, B bot sehr unwahrscheinlichen hohen Verlust <- B da hoher Verlust wirklich sehr sehr unwahrscheinlich war","b"
5,17,1,"sicherer Gewinn in A wahrgenommen, wohingegen doppelter möglicher Verlust zu 50% in B","b"
5,18,1,"B bot sichere Gewinnwarlkeit","a"
5,19,1,"ein sicherer Gewinn wurde in A erkannt wohingegen ein zu 50% möglicher 3facher Verlust in B gesehen wurde","b"
5,20,1,"zunächst wurde 50%iger Verlust von 6000 Euro wahrgenommen dann 0% Chance auf Verlust bei B->kein Verlust ist hier klar vorzuziehen","a"
6,1,1,"Ich habe gesehen, dass es bei A einen sicheren Gewinn gibt. Die möglichen zusätzlichen 100 Euro bei B waren mir das (wenn auch kleine) Risiko nicht wert, keinen Gewinn zu machen.","b"
6,2,1,"Ich habe die Wahrscheinlichkeiten und Gewinne verglichen. Bei A war der mögliche Gewinn nicht viel höher als bei B. Deshalb wollte ich lieber eine höhere Wahrscheinlichkeit auf einen Gewinn wählen.","a"
6,3,1,"Ich habe Wahrscheinlichkeiten und Gewinne verglichen. Ich habe gesehen, dass B ein sicherer Gewinn ist und ich wollte kein Risiko eingehen, also habe ich B gewählt.","a"
6,4,1,"Ich habe Wahrscheinlichkeiten und Gewinne verglichen. Der höhere Gewinn war nicht sehr viel höher als der mit der höheren Wahrscheinlichkeit. Ich habe deshalb auf eine höhere Wahrscheinlichkeit gesetzt.","b"
6,5,1,"Ich habe gesehen, dass es sehr gute Gewinnchancen bei A gibt, und keinen drohenden Verlust. Die Wahrscheinlichkeit für den Gewinn war viel höher als bei B, deshalb war mir die Gewinnsumme von B egal.","b"
6,6,1,"Ich habe die Wahrscheinlichkeiten gesehen und bin dann davon ausgegangen, 0 Euro zu gewinnen, also war mir die Wahl der Lotterien eigentlich egal. Weil es bei B eine höhere Wahrscheinschlichkeit gibt, habe ich B gewählt.","a"
6,7,1,"Ich habe gesehen, dass es bei A und B hohe Verluste gibt. Bei A war der verlust nicht sehr viel höher als bei B, aber es gab eien 20% Chance auf keinen Verlust. Ich habe überlegt ob 20% Chance den 1000 Euro höheren Verlust wert sind. Da 20% nicht total unwahrscheinlich ist, habe ich A gewählt.","a"
6,8,1,"Ich habe die Wahrscheinlichkeiten gesehen und die beiden möglichen Verlustsummen verglichen. Ich wollte lieber eine geringere Wahrscheinlichkeit eines Verlustes wählen, als eine kleinere Verlustsumme, weil auch der kleinere Verlust sehr hoch ist.","b"
6,9,1,"Ich habe Wahrscheinlichkeiten und Verluste verglichen. Bei B war ein Verlust sehr wahrscheinlich. Ich habe überlegt ob es mir Wert ist, den höheren Verlust zu riskieren. Weil die Wahrscheinlichkeit auf keinen Verlust bei A über 50% und bei B nur bei 10%, habe ich A gewählt.","b"
6,10,1,"Ich habe Wahrscheinlichkeiten und Verluste verglichen. Bei beiden Optionen war ein Verlust sehr sehr unwahrscheinlich und bei einem nur ein ganz kleines bisschen wahrscheinlicher, aber dafür doppelt so hoch. Deshalb habe habe ich mich dafür entschieden.","b"
6,11,1,"Ich habe den sicheren Gewinn bei B gesehen und dann die Wahrscheinlichkeiten bei A. Dann habe ich die Gewinne verglichen, und die zusätzlichen 500 Euro waren mir das Risiko nicht wert, keinen Gewinn zu machen.","a"
6,12,1,"Ich habe Wahrscheinlichkeiten und Verluste verglichen und überlegt, ob ein möglicher höherer Verlust die Chance keinen Verlust zu machen, wert ist. Weil es ur 500 Euro mehr waren und 50% eine gute bzw. ausgeogene Chance ist, habe ich ich mich dafür entschieden.","b"
6,13,1,"Ich habe Wahrscheinlichkeiten und Gewinne verglichen und gesehen dass es eine 50% Gewinnchance bei A gibt. Das war doppelt so viel wie bei B, die Gewinnhöhen-Unterschiede waren mir egal.","b"
6,14,1,"Ich habe Wahrscheinlichkeiten und Gewinne verglichen. Bei A war es schon sehr wahrscheinlich, keinen Verlust zu machen. Bei B war mir die Wahrscheinlichleit für einen Verlust zu hoch, auch für einen im Vergleich kleineren Verlust.","a"
6,15,1,"Ich habe Wahrscheinlichkeiten verglichen. Bei B war ein Gewinn sehr sehr unwahrscheinlich, bei a gab es einen zu 100%. Die Gewinnhöhen-Unterschiede haben dann keine Rolle für mich gespielt.","b"
6,16,1,"Ich habe die Wahrscheinlichkeiten verglichen. Zuerst wollte ich B wählen, weil 0 Euro Gewinn/Verlust sehr sehr wahrscheinlich ist. Dann habe ich überlegt, das 5 Euro entbehrlich sind, um ein (kleines) Risiko zu vermeiden.","b"
6,17,1,"Ich habe gesehen, dass es bei B einen sicheren Gewinn gab. Dann habe ich die Wahrscheinlichkeiten bei A gesehen. Zu 50% Verlust zu machen fand ich riskant, und B war eine gute Option, also habe ich B gewählt.","a"
6,18,1,"Ich habe Wahrscheinlichkeiten und Gewinne verglichen. Beide Gewinne waren hoch. Weil es bei B einen sicheren Gewinn gab, habe ich B gewählt. A war mir zu riskant.","a"
6,19,1,"Ich habe gesehen, dass es bei B möglicherweise Verlust gibt. Bei A gab es einen sicheren Gewinn. Ich wollte kein Risiko eingehen. Also habe ich A gewählt.","b"
6,20,1,"Ich habe gesehen, dass ich bei A zu 50% Wahscheinlichkeit einen großen Verlust mache. Das war mir zu riskant. Bei B weder Verlust noch Gewinn zu machen, schien mir sinnvoller.","a"
7,1,1,"Zuerst habe ich A, dann B angeschaut. Ich habe mich für A entschieden, da man dort rechnerisch am meisten gewinnt. Dass es zwar eine Möglichkeit gibt, bei Null zu bleiben, habe ich außer Acht gelassen, da sie mit 1 Prozent zu vernachlässigen ist und den Zuwachs von 100 Euro (ca. 2,5 Prozent) zwischen der 66-prozentigen Wahrscheinlichkeit und der 33-prozentigen Wahrscheinlichkeit nicht zunichte machen kann.","a"
7,2,1,"Zuerst habe ich A angeschaut, dann B. ein Gewinn ist bei A zwar wahrscheinlicher, allerdings ist der Gewinn bei B höher. Zudem ist die Differenz zwischen den Gewinnen größer als die zwischen den Wahrscheinlichkeiten, weshalb man statistisch gesehen mehr Geld mit B gewinnt. Daher habe ich B gewählt.","b"
7,3,1,"Bei A gewinnt man sicher 3000 Euro, bei B rein statistisch 3200 Euro. Zuerst hatte ich mir A angeschaut und wollte mit Blick auf den sicheren Gewinn A wählen, dann habe ich aber noch einmal B durchgerechnet (4000 x 0,8) und wegen dieses Ergebnisses B gewählt.","b"
7,4,1,"Zuerst habe ich A angeschaut, dann B. Mit A gewinnt man theoretisch 800 Euro, mit B nur 750. Daher ist die Wahl auf A gefallen.","a"
7,5,1,"Zuerst habe ich A angeschaut, dann B. In beiden Fällen geht es rechnerisch um 2700 Euro. Ich habe A gewählt, weil dort die Wahrscheinlichkeit, überhaupt etwas zu gewinnen, höher ist.","b"
7,6,1,"Ich habe zuerst A, dann B angeschaut. Wahrscheinlichkeiten und Gewinnsummen führen zum selben theoretischen Gewinn. Ausschlaggebend war für mich in diesem Fall, dass die Wahrscheinlichkeit, komplett leer auszugehen, bei A geringer war.","b"
7,7,1,"Ich habe zuerst A angeschaut, dann B. Ich habe mich für B entschieden, weil ich dort nur 3000 Euro verlieren, bei A hingegen rechnerisch 3200 Euro.","a"
7,8,1,"Zuerst habe ich A, dann B angeschaut. Entschieden habe ich mich für B, da ich dort rechnerisch 750 Euro verliere, bei A hingegen 800 Euro.","a"
7,9,1,"Zuerst habe ich A, dann B angeschaut. In beiden Fällen verliert man 2700 Euro. Ich habe mich dann von der geringeren Wahrscheinlichkeit, überhaupt etwas zu verlieren, leiten lassen und B gewählt.","b"
7,10,1,"Zuerst habe ich A angeschaut, dann B. Nach den Wahrscheinlichkeiten verliert man bei beiden Optionen gleich viel, der Faktor/Divisor ist jeweils 2. Ich habe mich dann für A entschieden, weil der absolute Verlust geringer ist (3000 Euro) und damit weniger einschüchternd wirkt, auch wenn er doppelt so wahrscheinlich ist.","b"
7,11,1,"Zuerst habe ich A angeschaut, dann B. Das Ergebnis aus Gewinnsumme und Wahrscheinlichkeit multipliziert ist dasselbe, daher bin ich mit B auf Nummer sicher gegangen, denn damit gehe ich jedenfalls nicht leer aus.","a"
7,12,1,"Zuerst habe ich A, dann B angeschaut. Der Verlust bei B wirkte im Vergleich zu den 2000 Euro, die ich ohnehin schon habe, weniger schmerzhaft als der mögliche Verlust von 1000 Euro bei B. Daher bin ich auf den sicheren Verlust in geringerer Höhe gegangen.","a"
7,13,1,"Zuerst habe ich A, dann B angeschaut. In beiden Fällen gewinnt man statistisch gesehen 1500 Euro. Bei B ist die Wahrscheinlichkeit, komplett leer auszugehen, allerdings halb so groß wie bei A. Daher dachte ich mir play it safe und bin auf B gegangen.","a"
7,14,1,"Zuerst habe ich A, dann B angeschaut. In beiden Fällen verliert man rechnerisch 1500 Euro. Ich habe mich davon leiten lassen, dass ich bei A in drei Vierteln der Fälle nichts verliere, auch wenn der Verlust im verbleibenden Viertel deutlich höher ausfällt als in den beiden verlustreichen Vierteln bei B. Daher ist es A geworden.","a"
7,15,1,"Zuerst habe ich A, dann B angeschaut. Die rechnerische Gesamtsumme ist dieselbe. 5000 Euro wirkten sehr verlockend, 5 Euro dagegen so nah an gar nichts gewinnen dran, dass es mir unnötig erschien, dafür zu votieren, auch wenn es rechnerisch egal ist. Daher ist es A geworden.","a"
7,16,1,"Zuerst habe ich A angeschaut, dann B. Statistisch gesehen verliert man gleich viel Geld, allerdings habe ich auf die weit überwiegende Wahrscheinlichkeit gesetzt, gar nichts zu verlieren und daher A gewählt","a"
7,17,1,"Zuerst habe ich A angeschaut, dann B. Ich habe nich für A entschieden, da ich dort 1500 Euro sicher gewinne, bei B käme ich rechnerisch hingegen auf Null.","b"
7,18,1,"Zuerst habe ich A, dann B angeschaut. 2000 Euro sicherer Gewinn sind ansprechender als rechnerischer Gewinn von 0 Euro bei B. Daher ist es A geworden.","b"
7,19,1,"Zuerst habe ich A, dann B angeschaut. Bei A bleibt man rechnerisch auf Null, bei B gewinnt man in jedem Fall. Daher ist es B geworden.","a"
7,20,1,"Zuerst habe ich A, dann B angeschaut. Die Ergebnisse sind rechnerisch dieselben. Hier bin ich auf Risiko gegangen und habe mich für A entschieden.","a"
8,1,1,"Die Entscheidung ist mir sehr schwer gefallen. Denn in A erhalte ich zu 100% einen Gewinn. In B erhalte ich denselben Gewinn zu 66%. Es besteht jedoch in B eine geringere Chance einen höheren Gewinn zu erzielen und zu 1% nichts zu erzielen. Da in beiden Fällen es wahrscheinlicher ist den selben Gewinn von 2400 zu erzielen, der höhere Gewinn in B nur ein wenig höher ist und in B die Chance besteht auch nichts zu erzielen, habe ich mich für den sicheren Gewinn in A entschieden und bin kein Risiko eingegangen.","b"
8,2,1,"In A erhält man den gewinn zu einem 1% weniger wahrscheinlich als in B aber dafür ist es auch um einen kleinen Betrag höher. Da mir aber wichtiger ist einen Gewinn zu erzielen, statt die höhe des Betrags, habe ich mich für B entschieden. Denn auch wenn es nur um 1% höher ist, ist die Wahrscheinlichkeit hier höher.","a"
8,3,1,"In A erhalte ich zu 100% einen Gewinn. In B erhalte ich einen höheren Gewinn aber nur zu 80%. Obwohl 80% eine hohe Wahrscheinlichkeit ist, habe ich mich für A entschieden. Da trotzdem das Risiko besteht, in B eventuell nichts zu erhalten. Aus diesem Grund nahm ich den geringeren Gewinn hin aber habe in A sicher einen Gewinn erhalten.","b"
