"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","phase","accuracy","events","order","problemID","input","choice","choicePosition","lottery","session","left_lottery","sex","education","age"
"survey",48,2317866,"0.0-45.0",11,15208,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""34"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",34
"survey",48,1341246,"0.0-45.0",12,16492,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""37"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",37
"survey",48,1429530,"0.0-45.0",13,11173,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""30"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",30
"survey",48,2336041,"0.0-45.0",14,6700,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""34"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",34
"survey",48,1162869,"0.0-45.0",15,6485,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""34"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",34
"survey",48,2098400,"0.0-45.0",16,7443,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""26"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",26
"survey",48,1960387,"0.0-45.0",17,14885,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""35"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",35
"survey",48,1396232,"0.0-45.0",18,23827,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""27"",""q_education"":""Anderer""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Anderer",27
"survey",48,3524529,"0.0-45.0",19,10638,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""27"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",27
"survey",48,3434219,"0.0-45.0",20,8057,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""24"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",24
"survey",48,2823657,"0.0-45.0",21,12735,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""21"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",21
"survey",48,4201645,"0.0-45.0",22,14021,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""32"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",32
"survey",48,3638441,"0.0-45.0",23,11643,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""21"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",21
"survey",48,3465158,"0.0-45.0",24,14337,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""23"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",23
"survey",52,2206896,"0.0-45.0",25,15414,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""26"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",26
"survey",48,3253308,"0.0-45.0",26,9050,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""22"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",22
"survey",48,4544063,"0.0-45.0",27,13436,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""21"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",21
"survey",48,1935051,"0.0-45.0",28,16533,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""34"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",34
"survey",48,6722598,"0.0-45.0",29,10938,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""23"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",23
"survey",48,1199073,"0.0-45.0",30,10673,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""29"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",29
"survey",48,2355672,"0.0-45.0",31,19011,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""30"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",30
"survey",48,1298083,"0.0-45.0",32,31004,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""23"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",23
"survey",48,3184186,"0.0-45.0",33,8917,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""29"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",29
"survey",48,1359845,"0.0-45.0",34,7835,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""36"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",36
"survey",48,800217,"0.0-45.0",35,15684,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""21"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",21
"survey",48,1708173,"0.0-45.0",36,17051,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""41"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",41
"survey",48,1245749,"0.0-45.0",37,8698,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""24"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",24
"survey",48,1142820,"0.0-45.0",38,12480,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""31"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",31
"survey",48,2770086,"0.0-45.0",39,37197,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""27"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",27
"survey",48,4125484,"0.0-45.0",40,14041,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""24"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",24
"survey",48,1285382,"0.0-45.0",41,16307,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""25"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",25
"survey",48,2303420,"0.0-45.0",42,8075,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""25"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",25
"survey",48,3137984,"0.0-45.0",43,9650,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""36"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",36
"survey",48,1522954,"0.0-45.0",44,7974,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""20"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",20
"survey",48,2608334,"0.0-45.0",45,11533,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""25"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",25
"survey",48,2698293,"0.0-45.0",46,6782,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""22"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",22
"survey",48,2683982,"0.0-45.0",47,7927,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""24"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",24
"survey",48,4330341,"0.0-45.0",48,12981,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""36"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",36
"survey",48,4107968,"0.0-45.0",49,7422,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""23"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",23
"survey",48,1342254,"0.0-45.0",50,9357,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""27"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",27
"survey",48,1621715,"0.0-45.0",51,15277,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""34"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",34
"survey",48,3812623,"0.0-45.0",52,9414,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""37"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",37
"survey",48,1436396,"0.0-45.0",53,11366,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""28"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",28
"survey",48,2263715,"0.0-45.0",54,8043,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""20"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",20
"survey",48,2046201,"0.0-45.0",55,7514,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""28"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",28
"survey",48,2559754,"0.0-45.0",56,7984,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""40"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",40
"survey",48,737574,"0.0-45.0",57,9540,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""29"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",29
"survey",48,3197308,"0.0-45.0",58,21897,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""20"",""q_education"":""Haupt- oder Realschule""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Haupt- oder Realschule",20
"survey",48,3780666,"0.0-45.0",59,14203,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""25"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",25
"survey",48,1623619,"0.0-45.0",60,7965,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""25"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","Bachelor oder Master",25
"survey",48,4658263,"0.0-45.0",61,14433,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""22"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",22
"survey",48,3450500,"0.0-45.0",62,10744,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""28"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",28
"survey",48,2134137,"0.0-45.0",63,6592,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""27"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","Bachelor oder Master",27
"survey",48,1728939,"0.0-45.0",64,35692,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""43"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","Bachelor oder Master",43
"survey",48,2642283,"0.0-45.0",65,11524,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""28"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",28
"survey",48,1338850,"0.0-45.0",66,11393,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""38"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",38
"survey",48,2169590,"0.0-45.0",67,9734,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""24"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",24
"survey",48,1743990,"0.0-45.0",68,8767,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""35"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",35
"survey",48,1048497,"0.0-45.0",69,13559,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""25"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",25
"survey",48,2838285,"0.0-45.0",70,12115,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""20"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","(Fach-) Abitur",20
"survey",48,2922640,"0.0-45.0",71,10899,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""32"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","Bachelor oder Master",32
"survey",48,4301078,"0.0-45.0",72,7454,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""20"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",20
"survey",48,1011963,"0.0-45.0",73,7226,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""22"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",22
"survey",48,1501863,"0.0-45.0",74,9314,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""41"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","Bachelor oder Master",41
"survey",48,2589689,"0.0-45.0",75,11615,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""39"",""q_education"":""Haupt- oder Realschule""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Haupt- oder Realschule",39
"survey",48,3279362,"0.0-45.0",76,13052,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""30"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",30
"survey",48,1297582,"0.0-45.0",77,10502,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""38"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",38
"survey",48,1766519,"0.0-45.0",78,20449,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""22"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","(Fach-) Abitur",22
"survey",48,1035299,"0.0-45.0",79,10008,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""27"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",27
"survey",48,1841706,"0.0-45.0",80,8071,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""27"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",27
"survey",48,1799975,"0.0-45.0",81,7245,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""23"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",23
"survey",48,2273202,"0.0-45.0",82,15233,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""28"",""q_education"":""Anderer""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Anderer",28
"survey",48,2305137,"0.0-45.0",83,46673,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""43"",""q_education"":""Anderer""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Anderer",43
"survey",48,2335643,"0.0-45.0",84,6939,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""32"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","Bachelor oder Master",32
"survey",48,2745091,"0.0-45.0",85,7923,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""22"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Weiblich","Bachelor oder Master",22
"survey",48,2481112,"0.0-45.0",86,9365,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""25"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",2,"","Männlich","Bachelor oder Master",25
