"y","aX1","aX2","aX3","bX1","bX2","bX3","aP1","aP2","aP3","bP1","bP2","bP3","problemID","subject_id","left_lottery","domain","type","session"
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,4,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,4,"a","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,4,"b","gain","risk_safe",1
0,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,4,"a","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,4,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,4,"b","loss","risk_risk",1
1,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,4,"a","gain","risk_safe",1
0,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,4,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,4,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,4,"a","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,4,"a","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,4,"a","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,5,"a","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,5,"a","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,5,"a","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,5,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,5,"b","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,5,"b","gain","risk_risk",1
0,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,5,"b","loss","risk_safe",1
0,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,5,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,5,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,5,"a","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,5,"b","gain","risk_safe",1
0,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,5,"a","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,5,"b","gain","risk_risk",1
0,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,5,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,5,"b","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,5,"b","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,5,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,5,"a","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,5,"b","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,5,"a","mixed","risk_safe",1
0,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,6,"b","gain","risk_safe",1
0,2500,0,0,2400,0,0,33,67,0,34,66,0,2,6,"a","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,6,"a","gain","risk_safe",1
0,4000,0,0,3000,0,0,20,80,0,25,75,0,4,6,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,6,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,6,"a","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,6,"a","loss","risk_safe",1
1,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,6,"b","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,6,"b","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,6,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,6,"a","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,6,"b","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,6,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,6,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,6,"b","gain","risk_safe",1
0,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,6,"b","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,6,"a","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,6,"a","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,6,"b","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,6,"a","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,7,"a","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,7,"b","gain","risk_risk",1
1,4000,0,0,3000,0,0,80,20,0,100,0,0,3,7,"b","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,7,"a","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,7,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,7,"b","gain","risk_risk",1
0,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,7,"a","loss","risk_safe",1
0,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,7,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,7,"b","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,7,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,7,"a","gain","risk_safe",1
0,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,7,"a","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,7,"a","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,7,"a","loss","risk_risk",1
1,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,7,"a","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,7,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,7,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,7,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,7,"a","mixed","risk_safe",1
1,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,7,"a","mixed","risk_safe",1
0,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,8,"b","gain","risk_safe",1
0,2500,0,0,2400,0,0,33,67,0,34,66,0,2,8,"a","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,8,"b","gain","risk_safe",1
0,4000,0,0,3000,0,0,20,80,0,25,75,0,4,8,"a","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,8,"a","gain","risk_risk",1
0,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,8,"b","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,8,"b","loss","risk_safe",1
1,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,8,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,8,"b","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,8,"a","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,8,"a","gain","risk_safe",1
0,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,8,"b","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,8,"a","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,8,"b","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,8,"a","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,8,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,8,"a","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,8,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,8,"a","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,8,"b","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,9,"a","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,9,"b","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,9,"a","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,9,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,9,"a","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,9,"a","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,9,"b","loss","risk_safe",1
1,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,9,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,9,"b","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,9,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,9,"b","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,9,"a","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,9,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,9,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,9,"b","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,9,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,9,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,9,"a","mixed","risk_safe",1
1,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,9,"a","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,9,"a","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,10,"b","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,10,"a","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,10,"a","gain","risk_safe",1
0,4000,0,0,3000,0,0,20,80,0,25,75,0,4,10,"b","gain","risk_risk",1
1,6000,0,0,3000,0,0,45,55,0,90,10,0,5,10,"a","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,10,"b","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,10,"b","loss","risk_safe",1
0,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,10,"b","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,10,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,10,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,10,"b","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,10,"b","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,10,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,10,"b","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,10,"b","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,10,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,10,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,10,"b","mixed","risk_safe",1
1,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,10,"a","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,10,"b","mixed","risk_safe",1
0,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,11,"b","gain","risk_safe",1
0,2500,0,0,2400,0,0,33,67,0,34,66,0,2,11,"b","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,11,"b","gain","risk_safe",1
0,4000,0,0,3000,0,0,20,80,0,25,75,0,4,11,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,11,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,11,"a","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,11,"a","loss","risk_safe",1
1,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,11,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,11,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,11,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,11,"a","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,11,"b","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,11,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,11,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,11,"b","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,11,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,11,"a","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,11,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,11,"a","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,11,"a","mixed","risk_safe",1
0,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,12,"b","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,12,"a","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,12,"a","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,12,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,12,"b","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,12,"b","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,12,"b","loss","risk_safe",1
0,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,12,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,12,"b","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,12,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,12,"b","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,12,"a","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,12,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,12,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,12,"b","gain","risk_safe",1
0,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,12,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,12,"a","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,12,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,12,"a","mixed","risk_safe",1
1,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,12,"b","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,13,"b","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,13,"b","gain","risk_risk",1
1,4000,0,0,3000,0,0,80,20,0,100,0,0,3,13,"b","gain","risk_safe",1
0,4000,0,0,3000,0,0,20,80,0,25,75,0,4,13,"a","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,13,"a","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,13,"b","gain","risk_risk",1
0,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,13,"a","loss","risk_safe",1
0,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,13,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,13,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,13,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,13,"b","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,13,"a","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,13,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,13,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,13,"b","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,13,"a","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,13,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,13,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,13,"b","mixed","risk_safe",1
1,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,13,"b","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,14,"b","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,14,"b","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,14,"b","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,14,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,14,"a","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,14,"b","gain","risk_risk",1
0,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,14,"a","loss","risk_safe",1
1,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,14,"b","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,14,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,14,"a","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,14,"a","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,14,"b","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,14,"b","gain","risk_risk",1
0,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,14,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,14,"b","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,14,"b","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,14,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,14,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,14,"b","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,14,"b","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,15,"a","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,15,"a","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,15,"b","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,15,"a","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,15,"a","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,15,"b","gain","risk_risk",1
